FD,SCI,CO,PPI_SUM,BF_Ex,BF_Ag,BF_Co,BF_Em,BF_Op,Gender_male,MonthsInJob,Age
0.46918342,-0.021000022,-0.1632096,0.74850816,-0.65800184,0.3432035,0.99215853,-0.1069739,0.17993777,-0.022364492,-0.8588722,1.2113312
-0.44193226,-0.19104975,-0.25196368,0.32710642,-0.941684,-0.3370555,-0.19020173,-0.14715534,0.16531934,-0.102065794,-1.9060456,1.5033411
-2.6762688,-0.82000166,0.9891457,-1.6871597,-0.20522843,-1.3002646,0.3461056,0.076499686,0.0309843,-0.056532886,-0.2567453,-1.2513732
-0.92887115,0.79289645,0.6583954,3.2783866,0.99161977,0.5526405,1.0158292,0.18666187,0.2425527,-0.031409644,-0.13650677,-1.2549623
0.60392666,0.6532893,-0.08079211,-1.281656,1.4121702,0.31198868,0.026985673,0.19207664,0.30062032,-0.09282777,-0.44585723,1.448259
-1.0691363,-0.43913317,-0.27304548,0.3583905,0.6214097,-0.3246619,-0.51598895,-0.014979095,0.17083527,-0.108317874,0.058846474,1.3443356
-0.8195811,0.59073734,-0.47719616,0.76299953,-0.21498148,-0.11608399,0.24049738,0.0006794336,0.23702042,-0.026478818,0.4165479,-0.03725386
0.3590515,0.10166716,0.24328627,0.28580707,0.12536867,0.017708644,-0.3752025,0.22395177,0.32410005,-0.039258596,-0.26652613,-0.31924048
0.11563156,0.89223707,-0.36264187,0.6014521,1.09615,-0.40151766,0.32231265,-0.26687154,0.22792286,-0.011507675,-0.29547584,-0.89998513
-0.075445876,0.6958636,-0.34246033,0.6147624,0.59606284,-0.10531586,1.2458729,-0.028640315,-1.3561379,-0.024394488,0.1035733,1.5451399
-1.1328669,-0.59146196,-0.36983982,0.7772445,-0.72542274,0.229504,0.14689916,-0.062165186,0.31412986,-0.026960881,0.35208663,-0.79611915
0.15226354,-1.191965,-0.42559373,-1.8517841,0.50367427,-0.20479828,0.11652884,-0.791775,-2.9020634,-0.037292734,-0.4290314,-1.2528752
-0.17556834,0.68284434,-0.3518775,0.9469011,-0.55745095,0.3249759,-0.65536237,-0.11859594,0.08625488,-0.11754043,0.06487982,1.1665981
-0.2565394,-0.12745017,-0.38969883,0.5770499,-0.17217582,0.3715497,-0.56641203,0.02257587,0.27772874,-0.13368657,-0.31806886,1.0481039
-0.21485433,0.29969832,-0.2583881,0.72086537,-0.099224694,0.6221761,-0.2822319,0.14912055,0.2453649,-0.0671482,0.16498077,-0.17137928
-0.5503735,-0.00018355716,0.22637847,0.629439,-1.0665084,0.75683844,-0.6230229,0.06892875,0.39144796,-0.07408933,0.15280457,-0.42104864
-0.21773261,-0.72855586,-0.06775299,-1.7768611,0.035428967,0.27619007,0.5272558,0.034666922,0.24891526,-0.070913844,-0.00075082784,-0.9133198
0.60715914,-0.11977728,-0.17183493,0.70999193,0.62009823,0.11802636,0.7898934,-0.005805188,0.572462,0.008696234,0.14379118,0.02671487
0.42876887,0.6402021,-0.25821906,0.6426683,-0.2200409,-0.25131735,0.8699898,0.14604393,0.27859598,-0.014968263,-0.12007377,1.0640305
-1.0677763,-0.08082397,-0.3938203,0.6745247,-0.27115184,0.6028315,0.1552585,0.10071725,0.33284432,-0.03325798,0.07345317,-0.7218841
-0.4929435,-0.42310646,0.7867954,0.4286425,-0.8152623,-0.42061162,0.23970635,-0.102207124,0.13075182,-0.043435805,0.11606304,-0.65661067
-0.08088216,-0.5029754,-0.08288858,-0.42281857,0.5743058,-0.072037004,0.061315887,-0.12758242,0.35061264,-0.036844485,1.2795064,1.1245297
-0.29886284,-0.65074867,-0.23028202,0.4602843,-0.345559,-0.2806825,0.20600243,-0.13605021,0.077397555,-0.043543145,-0.724181,0.81698966
-0.75092715,0.6306229,-0.05629543,0.843051,-0.2614488,-0.07109025,0.53051436,-0.17763478,0.14844203,-0.008516787,-0.13760601,-0.7423752
0.451286,0.1095213,-0.223029,-1.3949893,0.23959787,-0.06966254,-0.4092156,0.021186493,0.28423908,-0.06441889,-0.16926035,-0.886307
0.56618834,-0.3953891,0.23437704,0.69583094,-0.27381116,-0.092732616,-0.4351432,-0.071405165,0.30359143,-0.04875732,0.018362563,-0.48860732
0.42742538,0.7387863,-0.21068606,0.6656973,-0.22142525,0.36132517,0.9526055,0.111957416,0.14971274,-0.0113964565,0.14613031,0.74619675
0.47406083,-0.0673051,0.13716799,-1.465759,-0.2753218,-0.0063547706,-0.4707806,-0.10169973,0.26437122,-0.09280447,-0.0974538,1.1986752
0.77549386,0.70176643,0.07592538,0.30199006,0.12896696,0.36496404,0.85108656,-0.15833084,0.2605865,-0.043776087,1.1407002,-0.84327054
-1.0691742,-0.5179688,-0.3821083,0.3099221,-0.55169517,-0.02722609,0.72173274,-0.07873706,0.29776776,-0.02472033,0.84556586,1.12665
2.104616,0.16389604,0.018469699,-0.5984742,0.7610053,-0.027591031,-0.41146764,0.07349825,0.3681343,-0.025665851,0.716019,-0.78174126
