FD,SCI,CO,PPI_SUM,BF_Ex,BF_Ag,BF_Co,BF_Em,BF_Op,Gender_male,MonthsInJob,Age
-0.47229475,0.24188699,0.17504022,0.29751515,-0.5436516,-0.06698899,0.050253145,-0.17141074,0.21359885,-0.285128,-0.3051011,-0.9678766
-0.115710266,-0.07004154,0.060466427,0.17100163,-0.2125741,-0.5981632,0.009066367,0.6188697,0.06538114,-0.12831026,1.2313123,1.4057344
-0.77406955,-0.014059584,0.3215226,-0.48014155,-0.3435852,-0.21353722,-0.145239,0.09775414,-0.15623719,-0.2113596,0.48168814,0.97805107
-0.57035005,-0.056404363,-0.1157411,0.19904834,-0.58708835,-0.110387914,-0.09922538,0.12016269,-0.1471761,-0.29485178,0.057567175,0.0966268
-0.050946467,0.13395722,0.02415064,-0.4821099,-0.33914876,0.13146463,0.06859322,0.27677843,0.17205802,-0.1355535,-0.18344396,-0.4105199
-0.09926195,-0.016375473,0.13200663,0.35520756,-0.3635241,-0.06385897,-0.1219685,0.14717792,0.12131571,-0.2505477,-0.097058706,-0.63636374
1.0553802,0.135979,-0.5148594,0.5234653,1.3128512,0.081929035,0.13903779,0.34975326,-0.13955404,-0.16715346,0.006929177,1.5538368
-0.23715872,-0.35663167,-0.32688475,-0.6617384,0.38910428,-0.86961466,-0.5979713,-0.06603281,-0.06730106,-0.22494805,0.34184337,0.9369932
-0.612397,-0.092554696,0.6123427,0.09688179,-1.1812422,-0.1867005,-0.3058543,0.009488072,0.036676396,-0.40336913,-0.13406488,0.00344144
0.84967947,0.12006285,0.06596179,0.26492986,0.68128633,-0.014243444,-0.03565731,-0.2528628,0.3782626,-0.12328693,-0.14483386,-0.7676125
-0.559753,0.07442802,-0.097782694,-0.4439071,-0.5712094,0.05177162,0.023753498,0.15184116,-0.096497506,-0.21573646,-0.1561085,-0.3067633
0.010654416,-0.10445018,-0.20152362,0.06453174,1.132015,-0.025528232,-0.09643871,-0.01636818,0.14009339,-0.21718395,-0.13094157,0.45214227
-0.09592839,0.05293859,0.22883949,0.3791395,-0.5472228,-0.11208225,-0.010163251,0.06459265,-0.35240668,-0.30180448,-0.15144971,-0.64291257
-0.1362893,-0.0442827,0.12743863,0.16325924,-0.35301173,-0.1279223,0.037179787,-0.33249474,0.20530564,-0.23519003,-0.5417759,-0.45449692
0.08764546,0.1277087,0.2096084,0.24493887,-0.16921002,0.20825873,0.13427076,0.092405915,0.1709604,-0.14166877,0.05181495,-0.44526112
1.5811257,0.18931411,0.41251448,0.122904666,1.7295392,0.19027424,0.3635521,1.2813468,-0.14590949,-0.07994449,0.15644877,2.409707
-0.123880066,-0.56174356,-0.20182493,0.33237168,-0.35959744,0.25325644,0.006499657,-0.34961224,-0.055881597,-0.28211913,-0.5256841,-1.5749973
-0.52505195,0.13006553,0.3673116,0.038119316,1.303295,0.083727084,-0.16913019,0.062123176,0.091425546,-0.24980427,-0.017197782,1.3458384
-0.7166442,-0.08245574,-0.4812768,-0.17735197,0.49936813,-0.07296159,0.09263464,-0.8158414,0.01939169,-0.29525942,-0.10399579,0.57654923
-0.13602374,-0.06191613,0.15422805,0.08722822,-0.266419,-0.045791216,-0.17289557,0.013742842,0.18763001,-0.12451136,-0.6018484,-0.911595
